404: Not Found
港台频道2&爬虫更新,#genre#
CCTV7,http://114.243.104.92:8888/rtp/239.3.1.61:8104
CCTV8,http://114.243.104.92:8888/rtp/239.3.1.175:8001
CCTV9,http://114.243.104.92:8888/rtp/239.3.1.62:8112
CCTV10,http://114.243.104.92:8888/rtp/239.3.1.63:8116
CCTV11,http://114.243.104.92:8888/rtp/239.3.1.152:8120
CCTV12,http://114.243.104.92:8888/rtp/239.3.1.64:8124
CCTV13,http://114.243.104.92:8888/rtp/239.3.1.124:8128
CCTV14,http://114.243.104.92:8888/rtp/239.3.1.65:8132
CCTV15,http://114.243.104.92:8888/rtp/239.3.1.153:8136
CCTV16,http://114.243.104.92:8888/rtp/239.3.1.184:8001
CCTV17,http://114.243.104.92:8888/rtp/239.3.1.151:8144
CCTV1,http://222.93.40.121:8888/rtp/239.49.8.19:9614
CCTV2,http://222.93.40.121:8888/rtp/239.49.8.50:9802
CCTV3,http://222.93.40.121:8888/rtp/239.49.9.31:6000
CCTV4,http://222.93.40.121:8888/rtp/239.49.8.51:9806
CCTV5,http://222.93.40.121:8888/rtp/239.49.8.75:8000
CCTV5+,http://222.93.40.121:8888/rtp/239.49.8.18:9610
CCTV6,http://222.93.40.121:8888/rtp/239.49.9.33:6000
CCTV7,http://222.93.40.121:8888/rtp/239.49.1.254:6000
CCTV8,http://222.93.40.121:8888/rtp/239.49.9.34:6000
CCTV9,http://222.93.40.121:8888/rtp/239.49.8.53:9814
CCTV10,http://222.93.40.121:8888/rtp/239.49.8.54:9818
CCTV11,http://222.93.40.121:8888/rtp/239.49.1.11:6000
CCTV12,http://222.93.40.121:8888/rtp/239.49.8.55:9822
CCTV13,http://222.93.40.121:8888/rtp/239.49.9.43:6000
CCTV14,http://222.93.40.121:8888/rtp/239.49.8.56:9826
CCTV15,http://222.93.40.121:8888/rtp/239.49.1.15:6000
CCTV16,http://222.93.40.121:8888/rtp/239.49.9.58:6000
CCTV16,http://222.93.40.121:8888/rtp/239.49.9.59:6000
CCTV17,http://222.93.40.121:8888/rtp/239.49.8.52:9810
兵器科技,http://222.93.40.121:8888/rtp/239.49.8.88:8000
第一剧场,http://222.93.40.121:8888/rtp/239.49.8.94:8000
风云剧场,http://222.93.40.121:8888/rtp/239.49.8.89:8000
